venue_id,venue_name,season,source_season,source_games,park_factor_run,park_factor_hr,source
1,Angel Stadium,2022,2021,82,1.0618682195454392,1.0415524570790795,empirical_previous_1_season
2,Oriole Park at Camden Yards,2022,2021,81,1.1839741755991946,1.397473123639566,empirical_previous_1_season
3,Fenway Park,2022,2021,81,1.1880615432940134,0.9989158067892927,empirical_previous_1_season
4,Guaranteed Rate Field,2022,2021,80,0.9683995910949568,1.0624831763122478,empirical_previous_1_season
5,Progressive Field,2022,2021,80,0.9628816447069513,1.0880236372812921,empirical_previous_1_season
7,Kauffman Stadium,2022,2021,81,1.0804275273304502,0.8072046923549839,empirical_previous_1_season
10,Oakland Coliseum,2022,2021,81,0.9128454518428771,0.8980152202449196,empirical_previous_1_season
12,Tropicana Field,2022,2021,81,0.8992208928601477,0.8627000149543891,empirical_previous_1_season
14,Rogers Centre,2022,2021,36,0.9809682467565247,1.1010776506654705,empirical_previous_1_season
15,Chase Field,2022,2021,81,1.1049517334993633,0.8576549856271705,empirical_previous_1_season
17,Wrigley Field,2022,2021,81,1.085877350923542,1.2208970971869133,empirical_previous_1_season
19,Coors Field,2022,2021,81,1.1757994402095568,1.0190959240981672,empirical_previous_1_season
22,Dodger Stadium,2022,2021,81,0.9251075549273339,1.165401774587508,empirical_previous_1_season
31,PNC Park,2022,2021,81,0.9891429821461625,0.7416193111011415,empirical_previous_1_season
32,American Family Field,2022,2021,81,0.948269305197974,0.9333304255354502,empirical_previous_1_season
680,T-Mobile Park,2022,2021,81,0.9114829959446042,0.9736906601531994,empirical_previous_1_season
2392,Minute Maid Park,2022,2021,81,1.0272917472978051,1.0291859827526046,empirical_previous_1_season
2394,Comerica Park,2022,2021,81,0.9251075549273339,0.7769345163916721,empirical_previous_1_season
2395,Oracle Park,2022,2021,81,0.9400945698083363,0.8627000149543891,empirical_previous_1_season
2536,TD Ballpark,2022,2021,21,1.2297137664697864,1.381617317182593,empirical_previous_1_season
2602,Great American Ball Park,2022,2021,81,1.1730745284130109,1.2612573318046625,empirical_previous_1_season
2680,Petco Park,2022,2021,82,0.9340133642136057,0.9219483471752616,empirical_previous_1_season
2681,Citizens Bank Park,2022,2021,81,0.9877805262478895,1.003960836116511,empirical_previous_1_season
2756,Sahlen Field,2022,2021,23,1.1419749916046065,1.3858476212768447,empirical_previous_1_season
2889,Busch Stadium,2022,2021,81,0.8460851128275027,0.7567543990827975,empirical_previous_1_season
3289,Citi Field,2022,2021,81,0.7997616122862222,0.8576549856271705,empirical_previous_1_season
3309,Nationals Park,2022,2021,81,1.0177545560098944,1.0897263346792283,empirical_previous_1_season
3312,Target Field,2022,2021,81,1.054540865263264,1.1754918332419453,empirical_previous_1_season
3313,Yankee Stadium,2022,2021,81,0.9278324667238795,1.1048614226608844,empirical_previous_1_season
4169,loanDepot park,2022,2021,81,0.8692468630981428,0.7567543990827975,empirical_previous_1_season
4705,Truist Park,2022,2021,79,1.040726597231408,1.0862778336201169,empirical_previous_1_season
5325,Globe Life Field,2022,2021,81,0.9646187759772493,0.978735689480418,empirical_previous_1_season
1,Angel Stadium,2023,2022,81,0.9641158668396023,1.1217641418983701,empirical_previous_1_season
2,Oriole Park at Camden Yards,2023,2022,80,0.977626459143969,0.8795062320230105,empirical_previous_1_season
3,Fenway Park,2023,2022,81,1.1572272661766827,1.0527325023969318,empirical_previous_1_season
4,Guaranteed Rate Field,2023,2022,81,1.0765239948119325,1.006711409395973,empirical_previous_1_season
5,Progressive Field,2023,2022,81,0.9324110102320219,0.8513902205177373,empirical_previous_1_season
7,Kauffman Stadium,2023,2022,81,1.057789306816544,0.8053691275167785,empirical_previous_1_season
10,Oakland Coliseum,2023,2022,80,0.9440661478599223,0.7979626078619366,empirical_previous_1_season
12,Tropicana Field,2023,2022,81,0.8862948551664506,0.8916586768935763,empirical_previous_1_season
14,Rogers Centre,2023,2022,81,1.0289667099005622,1.1735378715244487,empirical_previous_1_season
15,Chase Field,2023,2022,81,1.027525580054763,0.8628954937679769,empirical_previous_1_season
17,Wrigley Field,2023,2022,81,0.9612336071480041,0.9434324065196549,empirical_previous_1_season
19,Coors Field,2023,2022,81,1.3431330162847672,1.1505273250239691,empirical_previous_1_season
22,Dodger Stadium,2023,2022,81,1.0087908920593744,1.1275167785234899,empirical_previous_1_season
31,PNC Park,2023,2022,81,1.0462602680501514,0.9204218600191754,empirical_previous_1_season
32,American Family Field,2023,2022,81,0.9857328145265889,1.2368168744007668,empirical_previous_1_season
680,T-Mobile Park,2023,2022,81,0.8891771148580487,1.1102588686481303,empirical_previous_1_season
2392,Minute Maid Park,2023,2022,81,0.8949416342412452,1.0584851390220518,empirical_previous_1_season
2394,Comerica Park,2023,2022,82,0.9139223687956723,0.6989453499520614,empirical_previous_1_season
2395,Oracle Park,2023,2022,81,1.001585242830379,0.7593480345158197,empirical_previous_1_season
2602,Great American Ball Park,2023,2022,80,1.139591439688716,1.2639261744966441,empirical_previous_1_season
2680,Petco Park,2023,2022,81,0.8675601671710621,0.9376797698945349,empirical_previous_1_season
2681,Citizens Bank Park,2023,2022,81,1.054907047124946,1.0814956855225313,empirical_previous_1_season
2889,Busch Stadium,2023,2022,81,0.972762645914397,0.9549376797698946,empirical_previous_1_season
3289,Citi Field,2023,2022,81,0.9252053610030263,0.8571428571428571,empirical_previous_1_season
3309,Nationals Park,2023,2022,81,1.0477013978959504,1.1505273250239691,empirical_previous_1_season
3312,Target Field,2023,2022,81,0.9497045683816112,0.972195589645254,empirical_previous_1_season
3313,Yankee Stadium,2023,2022,81,0.9857328145265889,1.190795781399808,empirical_previous_1_season
4169,loanDepot park,2023,2022,81,0.9266464908488254,0.9261744966442953,empirical_previous_1_season
4705,Truist Park,2023,2022,81,0.9756449056059953,1.093000958772771,empirical_previous_1_season
5325,Globe Life Field,2023,2022,81,1.0635538261997406,1.1390220517737297,empirical_previous_1_season
1,Angel Stadium,2024,2023,81,1.0378031383737518,1.1605316973415132,empirical_previous_1_season
2,Oriole Park at Camden Yards,2024,2023,81,0.9281383737517832,0.8793456032719836,empirical_previous_1_season
3,Fenway Park,2024,2023,81,1.0993223965763197,0.9662576687116564,empirical_previous_1_season
4,Guaranteed Rate Field,2024,2023,81,0.9816333808844507,0.9764826175869119,empirical_previous_1_season
5,Progressive Field,2024,2023,81,0.8572574893009985,0.6543967280163598,empirical_previous_1_season
7,Kauffman Stadium,2024,2023,81,1.097985021398003,0.950920245398773,empirical_previous_1_season
10,Oakland Coliseum,2024,2023,81,0.9522111269614836,0.894683026584867,empirical_previous_1_season
12,Tropicana Field,2024,2023,81,1.0030313837375178,1.02760736196319,empirical_previous_1_season
14,Rogers Centre,2024,2023,81,0.8987161198288159,0.9406952965235172,empirical_previous_1_season
15,Chase Field,2024,2023,81,0.976283880171184,0.8077709611451942,empirical_previous_1_season
17,Wrigley Field,2024,2023,81,1.0578637660485022,1.0122699386503067,empirical_previous_1_season
19,Coors Field,2024,2023,81,1.282542796005706,1.0633946830265848,empirical_previous_1_season
22,Dodger Stadium,2024,2023,81,0.9923323823109843,1.2167689161554192,empirical_previous_1_season
31,PNC Park,2024,2023,81,1.0030313837375178,0.7310838445807771,empirical_previous_1_season
32,American Family Field,2024,2023,81,0.9361626248216832,1.0020449897750512,empirical_previous_1_season
680,T-Mobile Park,2024,2023,81,0.8960413694721825,0.950920245398773,empirical_previous_1_season
2392,Minute Maid Park,2024,2023,81,0.9976818830242511,0.9918200408997955,empirical_previous_1_season
2394,Comerica Park,2024,2023,81,0.9843081312410841,0.9049079754601226,empirical_previous_1_season
2395,Oracle Park,2024,2023,81,0.8492332382310984,0.8333333333333333,empirical_previous_1_season
2602,Great American Ball Park,2024,2023,81,1.0699001426533523,1.2423312883435582,empirical_previous_1_season
2680,Petco Park,2024,2023,79,0.8666191155492154,0.8911237089384172,empirical_previous_1_season
2681,Citizens Bank Park,2024,2023,81,1.0070435092724679,1.109406952965235,empirical_previous_1_season
2889,Busch Stadium,2024,2023,79,1.0777889633254483,0.9959617923429369,empirical_previous_1_season
3289,Citi Field,2024,2023,81,0.9241262482168331,1.0531697341513293,empirical_previous_1_season
3309,Nationals Park,2024,2023,80,1.06431660128388,0.9938650306748466,empirical_previous_1_season
3312,Target Field,2024,2023,81,0.9682596291012839,1.083844580777096,empirical_previous_1_season
3313,Yankee Stadium,2024,2023,81,0.9107524964336661,1.1809815950920244,empirical_previous_1_season
4169,loanDepot park,2024,2023,81,0.954885877318117,0.8537832310838445,empirical_previous_1_season
4705,Truist Park,2024,2023,81,1.1394436519258204,1.2832310838445806,empirical_previous_1_season
5325,Globe Life Field,2024,2023,81,1.1581669044222538,1.3087934560327197,empirical_previous_1_season
1,Angel Stadium,2025,2024,81,1.0200551486218918,1.083361067528804,empirical_previous_1_season
2,Oriole Park at Camden Yards,2025,2024,81,1.0186501139819166,1.1108575413239512,empirical_previous_1_season
3,Fenway Park,2025,2024,81,1.0720414303009689,0.9623765828301557,empirical_previous_1_season
4,Guaranteed Rate Field,2025,2024,81,0.8964121003040868,0.9073836352398612,empirical_previous_1_season
5,Progressive Field,2025,2024,80,0.9858601180714988,1.0356546854942235,empirical_previous_1_season
7,Kauffman Stadium,2025,2024,81,1.028485356461742,0.8083963295773309,empirical_previous_1_season
10,Oakland Coliseum,2025,2024,81,0.9835242479825402,0.8578899824085959,empirical_previous_1_season
12,Tropicana Field,2025,2024,81,0.8865768578242613,0.9568772880711264,empirical_previous_1_season
14,Rogers Centre,2025,2024,81,1.024270252541817,0.9898730566253031,empirical_previous_1_season
15,Chase Field,2025,2024,81,1.220975102138325,0.9898730566253031,empirical_previous_1_season
17,Wrigley Field,2025,2024,81,0.8359956107851593,0.8413920981315076,empirical_previous_1_season
19,Coors Field,2025,2024,79,1.2129895255136567,1.1220649648202012,empirical_previous_1_season
22,Dodger Stadium,2025,2024,80,1.0114668743850441,1.2416720154043646,empirical_previous_1_season
31,PNC Park,2025,2024,81,1.027080321821767,0.8963850457218022,empirical_previous_1_season
32,American Family Field,2025,2024,81,0.9694739015827898,1.083361067528804,empirical_previous_1_season
680,T-Mobile Park,2025,2024,81,0.7882244330260072,0.9073836352398612,empirical_previous_1_season
2392,Minute Maid Park,2025,2024,81,1.0060048022221413,1.154851899396187,empirical_previous_1_season
2394,Comerica Park,2025,2024,80,0.9289562151525089,0.8741816431322207,empirical_previous_1_season
2395,Oracle Park,2025,2024,81,0.9427782434232637,0.7479040872280067,empirical_previous_1_season
2602,Great American Ball Park,2025,2024,81,1.0453457721414428,1.176849078432305,empirical_previous_1_season
2680,Petco Park,2025,2024,80,0.995818301082322,1.1525834403080872,empirical_previous_1_season
2681,Citizens Bank Park,2025,2024,80,1.0256928501147917,1.1080391527599485,empirical_previous_1_season
2889,Busch Stadium,2025,2024,80,0.9559855690390292,0.8240693196405648,empirical_previous_1_season
3289,Citi Field,2025,2024,80,1.0057764840931454,1.0690629011553272,empirical_previous_1_season
3309,Nationals Park,2025,2024,81,0.9891443865424404,0.8743878666856844,empirical_previous_1_season
3312,Target Field,2025,2024,81,1.0734464649409439,1.1108575413239512,empirical_previous_1_season
3313,Yankee Stadium,2025,2024,81,1.048155841421393,1.2428406155406582,empirical_previous_1_season
4169,loanDepot park,2025,2024,81,1.1689888204592478,0.9898730566253031,empirical_previous_1_season
4705,Truist Park,2025,2024,81,0.8865768578242613,0.8908857509627728,empirical_previous_1_season
5325,Globe Life Field,2025,2024,81,0.9146775506237624,1.0118702356614209,empirical_previous_1_season
1,Angel Stadium,2026,2025,81,1.0631997779217173,1.2,empirical_previous_1_season
2,Oriole Park at Camden Yards,2026,2025,81,1.0451559174609049,1.2106194690265488,empirical_previous_1_season
3,Fenway Park,2026,2025,81,1.0104561858054963,0.8389380530973451,empirical_previous_1_season
4,Rate Field,2026,2025,81,0.9549366151568427,0.9504424778761063,empirical_previous_1_season
5,Progressive Field,2026,2025,81,0.8966410659757563,0.8707964601769912,empirical_previous_1_season
7,Kauffman Stadium,2026,2025,81,0.8452854631257517,0.8017699115044248,empirical_previous_1_season
14,Rogers Centre,2026,2025,81,1.0659757564541499,1.1840707964601769,empirical_previous_1_season
15,Chase Field,2026,2025,81,1.0992874988433423,0.9716814159292034,empirical_previous_1_season
17,Wrigley Field,2026,2025,79,0.9976128927218995,1.0997199507113251,empirical_previous_1_season
19,Coors Field,2026,2025,81,1.3172018136393078,1.152212389380531,empirical_previous_1_season
22,Dodger Stadium,2026,2025,81,1.1103914129730728,1.3486725663716814,empirical_previous_1_season
31,PNC Park,2026,2025,81,0.8494494309244007,0.615929203539823,empirical_previous_1_season
32,American Family Field,2026,2025,81,0.9535486258906263,0.8920353982300885,empirical_previous_1_season
680,T-Mobile Park,2026,2025,81,0.9119089479041361,1.0300884955752212,empirical_previous_1_season
2392,Daikin Park,2026,2025,81,0.9244008513000831,1.0353982300884956,empirical_previous_1_season
2394,Comerica Park,2026,2025,81,1.0437679281946886,1.104424778761062,empirical_previous_1_season
2395,Oracle Park,2026,2025,81,0.9493846580919774,0.7911504424778761,empirical_previous_1_season
2523,George M. Steinbrenner Field,2026,2025,81,0.9854723790136022,1.0991150442477875,empirical_previous_1_season
2529,Sutter Health Park,2026,2025,81,1.1284352734338852,1.2212389380530975,empirical_previous_1_season
2602,Great American Ball Park,2026,2025,80,0.9767106967706115,1.0214601769911504,empirical_previous_1_season
2680,Petco Park,2026,2025,81,0.8869251411122421,0.8654867256637169,empirical_previous_1_season
2681,Citizens Bank Park,2026,2025,81,1.0604237993892844,1.152212389380531,empirical_previous_1_season
2889,Busch Stadium,2026,2025,81,0.9549366151568427,0.7592920353982301,empirical_previous_1_season
3289,Citi Field,2026,2025,80,1.0273029055241971,1.0268362831858409,empirical_previous_1_season
3309,Nationals Park,2026,2025,81,1.0978995095771258,0.9398230088495575,empirical_previous_1_season
3312,Target Field,2026,2025,81,1.0659757564541499,0.9398230088495575,empirical_previous_1_season
3313,Yankee Stadium,2026,2025,81,1.017396132136578,1.1946902654867257,empirical_previous_1_season
4169,loanDepot park,2026,2025,81,0.9632645507541409,0.8495575221238938,empirical_previous_1_season
4705,Truist Park,2026,2025,81,1.0035162394744146,1.0513274336283187,empirical_previous_1_season
5325,Globe Life Field,2026,2025,81,0.8008698066068288,0.7964601769911505,empirical_previous_1_season
